customer_id,ciudad,canal_preferido,edad,fecha_registro
C200082,Popayán,app,43,2024-10-27
C200083,Pereira,app,23,2024-09-06
C200084,Santa Marta,app,43,2025-10-19
C200085,Medellín,web,40,2025-09-30
C200086,Bogotá,app,36,2024-03-24
C200087,Santa Marta,tienda,26,2024-11-27
C200088,Yopal,web,40,2024-04-14
C200089,Florencia,app,33,2024-09-22
C200090,Barranquilla,app,31,2025-03-29
C200091,Pasto,web,31,2025-05-28
C200092,Santa Marta,app,40,2024-09-24
C200093,Villavicencio,web,44,2024-11-06
C200094,Valledupar,app,18,2024-10-05
C200095,Tunja,tienda,42,2024-10-20
C200096,Popayán,tienda,28,2025-09-02
C200097,Bucaramanga,web,52,2024-03-13
C200098,Tunja,web,32,2025-03-26
C200099,Villavicencio,web,49,2024-06-20
C200100,Cartagena,tienda,18,2025-07-13
C200101,Manizales,web,28,2024-04-27
C200102,Barranquilla,app,25,2025-03-15
C200103,Pasto,web,49,2024-01-07
C200104,Pereira,web,31,2024-05-27
C200105,Villavicencio,web,42,2024-07-20
C200106,Cartagena,app,20,2025-04-23
C200107,Pereira,tienda,47,2025-01-29
C200108,Bogotá,web,44,2025-09-19
C200109,Pasto,app,51,2025-04-30
C200110,Santa Marta,web,26,2025-01-10
C200111,Yopal,callcenter,39,2025-08-01
C200112,Manizales,callcenter,30,2024-12-28
C200113,Pereira,web,33,2024-08-21
C200114,Florencia,web,26,2024-09-01
C200115,Sincelejo,web,30,2025-04-29
C200116,Neiva,tienda,20,2024-02-04
C200117,Tunja,tienda,20,2024-07-19
C200118,Pasto,callcenter,19,2024-10-04
C200119,Cali,app,20,2024-06-13
C200120,Sincelejo,web,22,2025-01-13
C200121,Barranquilla,tienda,36,2025-07-07
C200122,Pereira,tienda,26,2024-12-06
C200123,Bucaramanga,web,40,2025-06-16
C200124,Popayán,callcenter,18,2025-08-26
C200125,Pasto,app,42,2025-09-28
C200126,Ibagué,web,32,2025-03-10
C200127,Bogotá,tienda,58,2024-04-08
C200128,Cartagena,tienda,46,2024-06-13
C200129,Sincelejo,app,54,2025-06-03
C200130,Ibagué,web,61,2025-10-20
C200131,Villavicencio,web,19,2024-03-31
C200132,Cartagena,tienda,37,2024-05-19
C200133,Pasto,web,52,2025-01-29
C200134,Santa Marta,app,36,2025-07-11
C200135,Yopal,web,31,2025-08-04
C200136,Yopal,web,38,2025-08-04
C200137,Bogotá,app,34,2024-08-15
C200138,Cartagena,web,41,2025-02-02
C200139,Montería,app,27,2025-05-13
C200140,Ibagué,app,46,2024-12-30
C200141,Medellín,web,31,2025-05-25
C200142,Barranquilla,web,33,2024-05-26
C200143,Villavicencio,web,46,2024-11-18
C200144,Santa Marta,web,58,2024-10-13
C200145,Pereira,app,36,2024-04-23
C200146,Sincelejo,web,46,2025-07-19
C200147,Tunja,app,44,2024-11-15
C200148,Santa Marta,web,46,2025-10-25
C200149,Barranquilla,app,29,2024-10-12
C200150,Santa Marta,callcenter,44,2024-11-22
C200151,Montería,web,40,2025-08-01
C200152,Florencia,app,40,2025-07-02
C200153,Ibagué,web,42,2025-10-09
C200154,Ibagué,tienda,46,2025-06-30
C200155,Bucaramanga,app,42,2024-04-13
C200156,Popayán,web,25,2024-09-16
C200157,Bucaramanga,web,44,2024-12-23
C200158,Villavicencio,web,56,2024-10-16
C200159,Florencia,web,42,2024-03-23
C200160,Montería,app,30,2025-01-09
C200161,Neiva,tienda,32,2025-01-14
C200162,Valledupar,app,18,2025-05-22
C200163,Popayán,tienda,27,2025-03-26
C200164,Valledupar,tienda,33,2024-01-27
C200165,Manizales,web,42,2024-08-18
C200166,Ibagué,web,41,2025-03-12
C200167,Florencia,web,22,2025-02-06
C200168,Cali,web,26,2024-12-02
C200169,Tunja,app,38,2025-06-27
C200170,Villavicencio,web,53,2025-07-17
C200171,Tunja,app,47,2024-01-14
C200172,Montería,web,27,2024-01-22
C200173,Cali,app,24,2024-09-16
C200174,Yopal,web,27,2025-09-22
C200175,Barranquilla,web,43,2024-10-16
C200176,Medellín,web,29,2025-07-14
C200177,Valledupar,web,36,2024-08-28
C200178,Tunja,app,31,2025-01-24
C200179,Manizales,web,36,2024-06-05
C200180,Yopal,callcenter,33,2024-05-16
C200181,Valledupar,tienda,36,2025-03-03
C200182,Bucaramanga,app,18,2025-07-21
C200183,Pereira,callcenter,23,2025-02-24
C200184,Pasto,web,35,2025-09-23
C200185,Tunja,app,29,2024-06-23
C200186,Villavicencio,web,44,2025-06-19
C200187,Barranquilla,tienda,47,2025-03-27
C200188,Manizales,app,28,2025-10-13
C200189,Yopal,callcenter,31,2024-04-10
C200190,Popayán,web,44,2024-12-20
C200191,Cali,web,31,2025-10-19
C200192,Tunja,app,32,2025-01-31
C200193,Villavicencio,web,38,2025-06-11
C200194,Medellín,web,38,2024-04-09
C200195,Villavicencio,app,41,2024-06-21
C200196,Bucaramanga,web,41,2024-09-30
C200197,Tunja,app,33,2024-11-21
C200198,Neiva,app,50,2025-03-13
C200199,Villavicencio,app,27,2025-06-16
C200200,Yopal,web,29,2024-04-27
C200201,Medellín,tienda,33,2025-07-18
C200202,Valledupar,web,19,2025-02-01
C200203,Villavicencio,web,23,2025-01-21
C200204,Santa Marta,web,59,2025-06-19
C200205,Bogotá,app,42,2025-02-12
C200206,Sincelejo,callcenter,55,2024-04-28
C200207,Cartagena,tienda,37,2025-04-09
C200208,Bogotá,app,32,2024-05-13
C200209,Manizales,web,36,2025-05-15
C200210,Yopal,web,26,2025-09-29
C200211,Cali,app,42,2025-07-08
C200212,Medellín,app,45,2024-11-02
C200213,Neiva,web,36,2024-11-26
C200214,Montería,tienda,19,2024-02-14
C200215,Cali,web,42,2025-10-05
C200216,Valledupar,tienda,38,2024-08-13
C200217,Medellín,web,36,2024-03-19
C200218,Cali,web,43,2024-04-13
C200219,Popayán,callcenter,52,2025-10-06
C200220,Medellín,app,47,2025-06-23
C200221,Santa Marta,tienda,48,2025-06-12
C200222,Neiva,web,31,2024-01-26
C200223,Pereira,tienda,31,2025-05-21
C200224,Bucaramanga,app,38,2024-12-25
C200225,Neiva,tienda,31,2025-02-15
C200226,Montería,app,47,2025-07-22
C200227,Sincelejo,tienda,26,2025-05-03
C200228,Villavicencio,app,39,2025-08-18
C200229,Sincelejo,app,36,2025-04-03
C200230,Sincelejo,web,18,2024-01-15
C200231,Cali,web,27,2024-05-01
C200232,Valledupar,app,33,2025-08-20
C200233,Bucaramanga,tienda,31,2025-08-12
C200234,Montería,app,29,2025-06-01
C200235,Barranquilla,web,34,2025-03-03
C200236,Pereira,tienda,26,2024-11-26
C200237,Valledupar,tienda,39,2025-06-06
C200238,Sincelejo,web,27,2025-08-02
C200239,Tunja,callcenter,38,2025-07-13
C200240,Bucaramanga,web,35,2024-11-27
C200241,Ibagué,web,41,2025-08-23
C200242,Bogotá,tienda,29,2024-06-02
C200243,Bogotá,web,29,2025-09-11
C200244,Santa Marta,tienda,35,2025-03-25
C200245,Villavicencio,callcenter,40,2025-06-03
C200246,Valledupar,web,53,2025-05-09
C200247,Neiva,web,33,2025-03-02
C200248,Valledupar,app,37,2024-04-02
C200249,Sincelejo,web,22,2024-05-16
C200250,Ibagué,tienda,29,2024-06-04
C200251,Ibagué,web,47,2024-06-19
C200252,Villavicencio,web,30,2025-07-20
C200253,Montería,app,39,2025-08-25
C200254,Bucaramanga,web,29,2025-10-14
C200255,Cartagena,web,20,2024-09-21
C200256,Manizales,web,69,2024-11-22
C200257,Barranquilla,web,20,2025-02-07
C200258,Medellín,tienda,18,2024-09-30
C200259,Neiva,callcenter,45,2024-03-31
C200260,Florencia,web,26,2024-07-11
C200261,Bogotá,web,42,2024-12-19
C200262,Ibagué,app,31,2024-09-12
C200263,Manizales,web,20,2025-10-22
C200264,Cali,app,26,2024-07-17
C200265,Barranquilla,tienda,44,2024-11-22
C200266,Florencia,tienda,49,2024-03-24
C200267,Medellín,web,29,2025-09-19
C200268,Villavicencio,web,26,2024-04-21
C200269,Florencia,tienda,24,2025-05-08
C200270,Medellín,web,18,2024-10-06
C200271,Ibagué,tienda,36,2024-07-07
C200272,Medellín,app,28,2024-01-04
C200273,Sincelejo,web,47,2025-03-08
C200274,Villavicencio,app,29,2025-08-03
C200275,Ibagué,web,18,2024-06-29
C200276,Valledupar,tienda,28,2025-10-11
C200277,Manizales,web,35,2025-09-06
C200278,Medellín,web,24,2024-12-07
C200279,Bucaramanga,app,27,2024-02-07
C200280,Tunja,app,24,2024-12-08
C200281,Santa Marta,app,53,2025-06-25
C200282,Ibagué,web,43,2024-07-24
C200283,Yopal,web,40,2025-05-10
C200284,Pasto,tienda,29,2025-10-22
C200285,Yopal,web,49,2024-09-28
C200286,Florencia,web,53,2025-03-18
C200287,Pasto,web,38,2024-09-10
C200288,Ibagué,app,41,2025-03-11
C200289,Santa Marta,app,19,2025-09-26
C200290,Bucaramanga,tienda,35,2025-07-16
C200291,Tunja,web,25,2025-05-03
C200292,Ibagué,web,31,2025-02-26
C200293,Neiva,web,31,2024-01-01
C200294,Santa Marta,web,32,2025-04-21
C200295,Cartagena,web,34,2025-08-04
C200296,Medellín,web,45,2024-06-23
C200297,Valledupar,web,44,2024-07-10
C200298,Yopal,web,24,2025-06-27
C200299,Pereira,web,31,2025-03-27
C200300,Neiva,web,34,2024-11-10
C200301,Valledupar,app,39,2024-06-16
C200302,Popayán,web,53,2025-01-24
C200303,Medellín,web,35,2024-08-27
C200304,Montería,tienda,18,2025-07-08
C200305,Sincelejo,tienda,45,2025-10-21
C200306,Tunja,app,20,2024-01-22
C200307,Pasto,app,45,2025-06-02
C200308,Neiva,web,35,2025-05-14
C200309,Neiva,app,36,2024-05-03
C200310,Bucaramanga,web,34,2024-10-09
C200311,Santa Marta,web,32,2024-04-06
C200312,Sincelejo,web,37,2024-02-28
C200313,Pereira,web,44,2024-02-19
C200314,Valledupar,web,23,2025-03-25
C200315,Popayán,web,47,2025-03-27
C200316,Ibagué,callcenter,42,2024-08-02
C200317,Ibagué,web,43,2025-02-06
C200318,Santa Marta,tienda,39,2024-12-26
C200319,Bucaramanga,callcenter,33,2024-08-05
C200320,Villavicencio,web,38,2024-03-22
C200321,Medellín,app,35,2025-02-28
C200322,Valledupar,web,27,2025-01-21
C200323,Neiva,web,35,2024-12-10
C200324,Neiva,app,43,2024-06-14
C200325,Valledupar,callcenter,56,2025-03-14
C200326,Tunja,web,29,2024-04-17
C200327,Bucaramanga,web,32,2025-04-27
C200328,Sincelejo,app,46,2025-07-13
C200329,Ibagué,app,45,2025-03-18
C200330,Cartagena,web,45,2024-03-05
C200331,Manizales,web,37,2024-09-22
C200332,Pasto,app,20,2024-10-10
C200333,Cali,app,49,2024-10-27
C200334,Villavicencio,app,31,2025-10-11
C200335,Montería,web,18,2024-08-24
C200336,Cali,app,26,2024-06-14
C200337,Valledupar,web,41,2025-01-04
C200338,Manizales,app,42,2024-12-06
C200339,Medellín,tienda,31,2025-01-01
C200340,Cartagena,web,51,2024-09-04
C200341,Sincelejo,web,30,2024-02-12
C200342,Florencia,app,43,2024-02-08
C200343,Florencia,web,25,2024-05-30
C200344,Medellín,web,25,2024-11-09
C200345,Cali,app,18,2025-06-11
C200346,Manizales,web,39,2025-03-18
C200347,Yopal,web,39,2025-05-18
C200348,Valledupar,web,49,2025-08-25
C200349,Manizales,app,41,2025-05-08
C200350,Popayán,web,36,2024-10-21
C200351,Manizales,web,42,2025-07-02
C200352,Pasto,app,32,2025-03-20
C200353,Santa Marta,tienda,49,2024-05-02
C200354,Bogotá,app,18,2024-09-08
C200355,Manizales,web,18,2024-11-30
C200356,Manizales,web,29,2024-05-18
C200357,Barranquilla,app,43,2024-07-23
C200358,Popayán,web,28,2024-03-28
C200359,Ibagué,tienda,35,2024-07-25
C200360,Florencia,web,42,2024-12-06
C200361,Manizales,web,33,2025-10-06
C200362,Sincelejo,tienda,43,2025-08-17
C200363,Ibagué,web,40,2024-03-09
C200364,Valledupar,web,33,2025-06-18
C200365,Pasto,web,42,2024-03-01
C200366,Santa Marta,web,39,2024-11-06
C200367,Sincelejo,web,40,2025-07-20
C200368,Villavicencio,callcenter,23,2024-12-27
C200369,Valledupar,web,21,2024-04-06
C200370,Montería,web,30,2025-02-28
C200371,Santa Marta,tienda,45,2025-03-01
C200372,Cartagena,tienda,29,2025-02-17
C200373,Montería,web,18,2025-04-01
C200374,Tunja,web,25,2025-07-11
C200375,Popayán,web,40,2025-09-15
C200376,Villavicencio,web,44,2024-01-18
C200377,Barranquilla,web,44,2024-10-15
C200378,Popayán,web,50,2025-05-13
C200379,Pasto,web,29,2025-10-11
C200380,Manizales,app,25,2024-08-21
C200381,Montería,app,37,2024-07-24
C200382,Pasto,web,26,2024-04-27
C200383,Neiva,web,26,2025-02-15
C200384,Medellín,app,34,2024-10-15
C200385,Yopal,web,37,2024-01-19
C200386,Ibagué,app,49,2024-12-19
C200387,Bucaramanga,web,29,2024-04-02
C200388,Bogotá,app,37,2024-11-12
C200389,Cartagena,web,25,2025-10-01
C200390,Valledupar,callcenter,24,2024-10-31
C200391,Yopal,app,35,2024-11-09
C200392,Yopal,app,32,2025-06-12
C200393,Neiva,tienda,34,2024-09-07
C200394,Santa Marta,web,55,2025-02-19
C200395,Bucaramanga,app,44,2024-05-23
C200396,Manizales,web,37,2024-04-02
C200397,Pasto,tienda,52,2024-12-01
C200398,Ibagué,web,31,2024-07-17
C200399,Sincelejo,web,28,2024-12-04
C200400,Yopal,tienda,30,2024-05-18
C200401,Ibagué,web,18,2025-06-25
C200402,Popayán,app,21,2024-10-18
C200403,Valledupar,tienda,34,2024-04-25
C200404,Pasto,app,33,2025-07-10
C200405,Cartagena,callcenter,28,2025-06-15
C200406,Popayán,callcenter,18,2024-01-03
C200407,Popayán,web,41,2024-02-09
C200408,Villavicencio,web,28,2024-05-01
C200409,Pereira,web,18,2024-04-05
C200410,Montería,web,41,2025-07-14
C200411,Pereira,web,23,2024-05-03
C200412,Bucaramanga,web,18,2024-11-09
C200413,Valledupar,tienda,53,2025-03-04
C200414,Popayán,web,46,2024-12-20
C200415,Pereira,app,42,2024-02-13
C200416,Valledupar,app,30,2024-08-07
C200417,Medellín,web,30,2025-03-17
C200418,Tunja,tienda,40,2025-07-29
C200419,Medellín,tienda,49,2025-05-04
C200420,Cali,app,24,2025-03-20
C200421,Medellín,app,38,2024-02-23
C200422,Bogotá,web,22,2024-08-24
C200423,Neiva,web,38,2025-08-28
C200424,Bucaramanga,tienda,44,2024-12-01
C200425,Ibagué,web,43,2025-05-28
C200426,Cali,web,18,2024-11-13
C200427,Bucaramanga,tienda,18,2025-01-18
C200428,Bogotá,app,56,2024-08-09
C200429,Manizales,web,40,2024-06-04
C200430,Tunja,web,43,2025-08-08
C200431,Villavicencio,app,22,2024-07-25
C200432,Montería,tienda,28,2024-12-05
C200433,Medellín,tienda,40,2024-12-05
C200434,Florencia,web,30,2025-07-28
C200435,Florencia,web,34,2025-02-08
C200436,Popayán,tienda,39,2024-08-04
C200437,Popayán,tienda,46,2025-05-18
C200438,Bogotá,web,38,2024-11-26
C200439,Bogotá,tienda,38,2025-07-03
C200440,Valledupar,web,42,2025-04-02
C200441,Valledupar,web,41,2024-12-16
C200442,Neiva,web,24,2025-04-03
C200443,Bogotá,web,32,2025-05-13
C200444,Bogotá,web,24,2024-07-25
C200445,Tunja,app,46,2025-03-17
C200446,Cartagena,app,44,2024-05-17
C200447,Valledupar,web,38,2024-03-08
C200448,Santa Marta,callcenter,31,2024-03-14
C200449,Bogotá,web,50,2025-10-26
C200450,Tunja,web,42,2025-09-13
C200451,Neiva,web,36,2025-06-23
C200452,Pereira,app,41,2024-01-14
C200453,Barranquilla,web,43,2024-07-07
C200454,Barranquilla,app,24,2025-04-15
C200455,Tunja,tienda,49,2025-10-06
C200456,Bucaramanga,web,36,2024-06-30
C200457,Ibagué,web,35,2024-03-04
C200458,Manizales,tienda,21,2025-02-09
C200459,Florencia,web,31,2024-04-02
C200460,Tunja,callcenter,36,2025-01-09
C200461,Cartagena,web,30,2024-07-25
C200462,Montería,tienda,25,2024-04-03
C200463,Cartagena,tienda,65,2025-03-13
C200464,Sincelejo,app,18,2024-05-29
C200465,Cali,app,46,2024-01-29
C200466,Montería,web,36,2025-09-19
C200467,Sincelejo,web,27,2025-06-02
C200468,Villavicencio,app,47,2024-09-12
C200469,Yopal,tienda,29,2024-06-27
C200470,Ibagué,web,37,2025-09-22
C200471,Ibagué,app,43,2024-07-25
C200472,Santa Marta,tienda,33,2024-11-04
C200473,Cali,callcenter,30,2024-03-04
C200474,Medellín,tienda,39,2024-04-07
C200475,Cali,web,18,2024-12-29
C200476,Sincelejo,web,28,2025-07-17
C200477,Sincelejo,web,34,2024-03-24
C200478,Sincelejo,callcenter,18,2024-12-25
C200479,Valledupar,web,30,2024-07-10
C200480,Popayán,web,30,2024-02-08
C200481,Medellín,web,31,2025-02-23
C200482,Bogotá,app,31,2024-06-14
C200483,Pereira,tienda,38,2025-01-10
C200484,Cali,web,18,2024-10-28
C200485,Popayán,tienda,33,2025-03-28
C200486,Neiva,web,27,2024-12-20
C200487,Pasto,web,45,2025-03-21
C200488,Yopal,tienda,38,2025-05-04
C200489,Barranquilla,tienda,34,2024-04-15
C200490,Tunja,web,23,2024-03-29
C200491,Medellín,app,29,2025-01-05
C200492,Ibagué,callcenter,24,2025-05-17
C200493,Manizales,tienda,40,2024-02-01
C200494,Yopal,tienda,23,2024-03-22
C200495,Popayán,web,30,2024-07-19
C200496,Cartagena,web,47,2024-11-22
C200497,Medellín,web,34,2024-02-17
C200498,Cali,web,29,2024-12-10
C200499,Cartagena,app,18,2025-05-02
C200500,Valledupar,web,54,2024-09-26
C200501,Yopal,app,51,2024-05-11
C200502,Medellín,callcenter,35,2024-07-05
C200503,Pereira,web,36,2025-02-25
C200504,Pasto,tienda,37,2025-10-04
C200505,Bogotá,web,32,2025-02-09
C200506,Manizales,app,50,2024-07-03
C200507,Yopal,tienda,55,2025-06-27
C200508,Bucaramanga,tienda,27,2024-06-25
C200509,Sincelejo,app,32,2024-12-14
C200510,Cali,tienda,40,2024-10-13
C200511,Santa Marta,web,25,2025-08-18
C200512,Pereira,web,37,2024-10-02
C200513,Yopal,web,38,2024-12-02
C200514,Ibagué,web,18,2024-09-29
C200515,Yopal,web,29,2024-11-23
C200516,Sincelejo,tienda,28,2024-08-16
C200517,Valledupar,web,27,2025-04-17
C200518,Pasto,app,48,2025-05-25
C200519,Sincelejo,app,41,2024-01-13
C200520,Bucaramanga,tienda,46,2024-06-19
C200521,Cali,web,31,2025-10-22
C200522,Tunja,web,22,2024-05-22
C200523,Montería,tienda,41,2024-12-29
C200524,Medellín,app,18,2025-01-01
C200525,Barranquilla,web,52,2024-04-07
C200526,Neiva,web,30,2024-08-24
C200527,Ibagué,web,18,2024-03-12
C200528,Cali,tienda,43,2024-02-11
C200529,Pasto,web,50,2024-05-18
C200530,Florencia,app,23,2025-05-20
C200531,Florencia,app,41,2025-02-27
C200532,Florencia,tienda,28,2025-05-07
C200533,Sincelejo,tienda,33,2024-08-20
C200534,Pasto,web,18,2024-05-28
C200535,Bogotá,callcenter,28,2024-03-03
C200536,Cartagena,web,47,2024-01-06
C200537,Villavicencio,app,52,2024-01-28
C200538,Popayán,tienda,26,2024-10-25
C200539,Ibagué,web,44,2024-09-25
C200540,Montería,web,44,2024-09-03
C200541,Valledupar,web,45,2024-03-23
C200542,Sincelejo,web,28,2024-07-28
C200543,Neiva,callcenter,32,2025-08-31
C200544,Pereira,callcenter,30,2025-05-06
C200545,Yopal,web,23,2025-01-01
C200546,Sincelejo,web,24,2025-10-15
C200547,Cali,web,37,2025-05-25
C200548,Florencia,app,33,2024-03-13
C200549,Santa Marta,tienda,18,2024-12-25
C200550,Ibagué,app,25,2024-06-10
C200551,Cali,tienda,52,2025-03-09
C200552,Cali,tienda,32,2024-07-01
C200553,Cartagena,web,40,2024-09-02
C200554,Bucaramanga,web,29,2025-03-08
C200555,Sincelejo,tienda,24,2025-04-13
C200556,Bucaramanga,app,18,2024-05-22
C200557,Sincelejo,callcenter,37,2024-10-28
C200558,Pasto,app,18,2024-03-10
C200559,Montería,tienda,48,2024-04-21
C200560,Barranquilla,web,35,2025-10-22
C200561,Cali,tienda,32,2025-10-24
C200562,Bogotá,app,48,2024-06-28
C200563,Santa Marta,web,18,2025-05-17
C200564,Villavicencio,web,32,2024-11-06
C200565,Montería,web,36,2025-03-18
C200566,Cartagena,callcenter,50,2024-01-30
C200567,Barranquilla,tienda,41,2024-04-17
C200568,Bucaramanga,web,37,2025-03-20
C200569,Cali,web,22,2025-08-28
C200570,Pereira,web,34,2025-05-09
C200571,Neiva,web,39,2025-06-26
C200572,Villavicencio,web,30,2025-07-05
C200573,Valledupar,callcenter,53,2025-01-19
C200574,Valledupar,web,18,2025-02-08
C200575,Tunja,app,45,2024-01-22
C200576,Neiva,web,22,2025-06-12
C200577,Barranquilla,app,21,2025-10-14
C200578,Bogotá,web,19,2024-06-11
C200579,Cali,web,18,2024-08-26
C200580,Montería,web,49,2024-09-25
C200581,Valledupar,web,39,2024-09-01
C200582,Cali,web,33,2024-01-26
C200583,Florencia,callcenter,27,2025-06-15
C200584,Florencia,web,46,2025-01-22
C200585,Pasto,app,50,2025-06-09
C200586,Sincelejo,tienda,27,2025-02-02
C200587,Bogotá,app,27,2025-05-05
C200588,Santa Marta,web,45,2025-09-03
C200589,Neiva,app,48,2024-05-01
C200590,Sincelejo,tienda,39,2024-05-24
C200591,Cali,tienda,46,2024-02-19
C200592,Valledupar,web,24,2024-05-07
C200593,Ibagué,app,18,2025-04-07
C200594,Yopal,web,31,2024-07-08
C200595,Tunja,web,31,2024-10-10
C200596,Pereira,app,29,2024-05-15
C200597,Sincelejo,app,37,2024-06-19
C200598,Pereira,web,43,2025-08-05
C200599,Bucaramanga,callcenter,30,2025-01-05
C200600,Cartagena,web,23,2025-04-02
C200601,Santa Marta,web,25,2024-07-15
C200602,Cartagena,tienda,23,2025-01-16
C200603,Popayán,web,18,2025-03-28
C200604,Bucaramanga,web,37,2024-01-06
C200605,Cali,web,31,2024-05-25
C200606,Pereira,web,18,2024-07-20
C200607,Neiva,app,38,2025-09-15
C200608,Cartagena,tienda,47,2025-02-04
C200609,Neiva,app,37,2025-03-27
C200610,Santa Marta,web,39,2025-05-18
C200611,Popayán,tienda,31,2025-06-17
C200612,Cali,web,49,2025-05-29
C200613,Montería,callcenter,20,2024-03-16
C200614,Cartagena,app,27,2024-08-20
C200615,Ibagué,web,38,2024-03-23
C200616,Popayán,tienda,33,2024-01-30
C200617,Florencia,tienda,18,2024-08-24
C200618,Florencia,app,48,2025-05-04
C200619,Manizales,web,32,2024-11-09
C200620,Villavicencio,web,30,2024-04-08
C200621,Barranquilla,web,25,2025-08-19
C200622,Bucaramanga,tienda,39,2024-04-30
C200623,Santa Marta,web,31,2024-02-23
C200624,Bogotá,web,33,2025-04-27
C200625,Sincelejo,web,34,2025-10-17
C200626,Pasto,web,28,2024-10-30
C200627,Florencia,app,45,2024-11-28
C200628,Sincelejo,app,59,2024-03-12
C200629,Pasto,tienda,48,2025-07-28
C200630,Villavicencio,web,47,2024-01-17
C200631,Pasto,web,32,2025-04-09
C200632,Neiva,web,33,2024-06-23
C200633,Florencia,tienda,26,2025-10-24
C200634,Bucaramanga,web,18,2024-07-13
C200635,Santa Marta,web,31,2025-03-06
C200636,Pasto,app,37,2024-03-04
C200637,Florencia,web,23,2024-11-06
C200638,Manizales,web,30,2024-06-12
C200639,Popayán,web,28,2024-08-11
C200640,Pasto,app,50,2025-10-14
C200641,Pereira,web,26,2024-08-08
C200642,Sincelejo,web,22,2025-07-03
C200643,Pasto,web,24,2024-08-26
C200644,Santa Marta,tienda,36,2024-02-19
C200645,Popayán,web,23,2025-09-29
C200646,Yopal,app,37,2025-08-02
C200647,Ibagué,callcenter,18,2025-04-22
C200648,Pasto,web,35,2025-02-18
C200649,Sincelejo,web,51,2024-06-29
C200650,Cartagena,tienda,18,2024-07-12
C200651,Sincelejo,web,18,2024-05-23
C200652,Montería,app,34,2024-03-28
C200653,Barranquilla,tienda,31,2024-12-06
C200654,Yopal,tienda,41,2025-01-20
C200655,Manizales,app,27,2024-04-17
