tienda_id,sku,stock,fecha_stock
S1114,SKU100583,16,2024-11-14
S1013,SKU100514,28,2024-09-23
S1122,SKU100738,26,2025-08-21
S1004,SKU100669,12,2024-07-14
S1030,SKU100543,20,2024-12-02
S1120,SKU100165,14,2025-06-03
S1106,SKU100658,25,2025-05-13
S1008,SKU100031,18,2024-03-30
S1028,SKU100646,19,2025-05-23
S1052,SKU100437,23,2024-06-25
S1095,SKU100704,21,2025-06-03
S1031,SKU100048,18,2024-04-24
S1059,SKU100277,22,2024-02-03
S1075,SKU100310,17,2025-06-27
S1064,SKU100134,22,2024-04-09
S1011,SKU100402,12,2024-03-22
S1123,SKU100280,20,2025-08-28
S1087,SKU100432,12,2025-01-17
S1143,SKU100410,28,2025-05-22
S1095,SKU100168,18,2024-09-05
S1077,SKU100039,18,2024-11-14
S1096,SKU100145,18,2025-07-18
S1032,SKU100119,25,2025-09-02
S1082,SKU100352,31,2024-03-07
S1111,SKU100489,24,2024-06-06
S1035,SKU100322,20,2025-07-24
S1108,SKU100786,17,2025-02-12
S1045,SKU100188,13,2024-06-09
S1046,SKU100127,15,2025-06-11
S1002,SKU100339,20,2025-07-14
S1060,SKU100220,17,2024-09-15
S1075,SKU100450,17,2025-05-09
S1007,SKU100264,24,2024-09-26
S1127,SKU100314,24,2024-08-22
S1122,SKU100398,15,2024-08-24
S1077,SKU100554,25,2024-07-15
S1073,SKU100701,16,2025-01-07
S1083,SKU100381,17,2024-01-29
S1057,SKU100615,15,2024-05-28
S1111,SKU100334,21,2025-02-11
S1043,SKU100098,18,2024-08-28
S1059,SKU100547,14,2024-10-10
S1057,SKU100320,28,2024-07-03
S1001,SKU100500,23,2025-01-13
S1020,SKU100140,18,2025-04-09
S1073,SKU100341,18,2024-09-02
S1089,SKU100223,23,2024-04-15
S1026,SKU100170,17,2024-01-22
S1014,SKU100003,22,2024-09-30
S1063,SKU100403,17,2024-11-08
S1032,SKU100674,19,2025-08-08
S1047,SKU100093,17,2025-05-12
S1017,SKU100734,27,2025-06-28
S1120,SKU100242,19,2024-05-04
S1036,SKU100648,21,2024-11-24
S1118,SKU100506,15,2024-01-18
S1040,SKU100435,15,2024-04-29
S1069,SKU100548,26,2025-02-01
S1139,SKU100749,16,2024-12-17
S1063,SKU100632,22,2024-10-21
S1088,SKU100569,19,2024-06-12
S1082,SKU100729,14,2025-10-16
S1082,SKU100567,20,2024-11-10
S1083,SKU100175,20,2025-02-20
S1046,SKU100598,19,2025-04-08
S1078,SKU100174,23,2024-11-02
S1088,SKU100143,20,2025-10-04
S1080,SKU100103,13,2024-03-30
S1103,SKU100118,23,2025-09-23
S1128,SKU100335,19,2024-04-10
S1125,SKU100377,17,2025-09-11
S1021,SKU100459,30,2024-09-26
S1017,SKU100056,14,2024-12-18
S1086,SKU100053,21,2025-05-10
S1135,SKU100652,25,2024-04-11
S1012,SKU100371,23,2025-01-23
S1078,SKU100613,24,2024-08-30
S1023,SKU100264,26,2025-01-01
S1114,SKU100465,25,2024-12-13
S1078,SKU100275,18,2024-02-02
S1120,SKU100235,21,2024-03-21
S1093,SKU100653,17,2024-03-25
S1054,SKU100365,13,2024-06-11
S1036,SKU100304,18,2025-06-03
S1112,SKU100541,25,2025-01-05
S1075,SKU100114,29,2025-05-06
S1118,SKU100121,13,2025-03-19
S1091,SKU100594,14,2025-07-07
S1076,SKU100719,19,2025-04-23
S1146,SKU100470,22,2024-04-29
S1051,SKU100266,24,2025-10-06
S1074,SKU100617,21,2024-01-05
S1052,SKU100037,26,2024-08-03
S1085,SKU100236,19,2024-09-02
S1125,SKU100522,23,2025-09-29
S1136,SKU100031,15,2025-08-24
S1056,SKU100199,23,2024-03-05
S1031,SKU100542,16,2024-03-23
S1055,SKU100431,23,2025-01-20
S1021,SKU100070,23,2024-11-08
S1051,SKU100245,18,2024-06-26
S1133,SKU100615,19,2025-10-12
S1046,SKU100437,19,2024-01-30
S1009,SKU100525,22,2025-01-12
S1121,SKU100518,12,2024-02-29
S1136,SKU100179,13,2025-01-30
S1142,SKU100069,16,2025-08-25
S1090,SKU100178,18,2024-01-06
S1122,SKU100556,16,2024-01-05
S1121,SKU100201,27,2024-06-14
S1002,SKU100292,21,2025-03-14
S1142,SKU100445,18,2024-03-04
S1047,SKU100323,25,2024-05-13
S1016,SKU100320,16,2024-01-14
S1046,SKU100125,24,2025-07-17
S1113,SKU100708,21,2024-06-26
S1078,SKU100418,25,2024-09-29
S1083,SKU100676,18,2025-07-01
S1054,SKU100335,17,2024-03-14
S1057,SKU100494,19,2024-12-12
S1131,SKU100051,16,2025-07-14
S1025,SKU100524,29,2025-03-11
S1144,SKU100109,15,2024-07-15
S1091,SKU100435,19,2024-07-27
S1122,SKU100192,20,2024-01-31
S1074,SKU100285,20,2024-07-03
S1097,SKU100508,21,2025-08-12
S1022,SKU100752,34,2025-04-15
S1122,SKU100453,24,2024-04-17
S1096,SKU100166,27,2025-09-06
S1101,SKU100602,26,2025-03-06
S1016,SKU100317,12,2025-08-10
S1057,SKU100214,19,2025-08-31
S1101,SKU100139,25,2025-08-28
S1147,SKU100263,18,2024-10-04
S1096,SKU100644,11,2024-10-12
S1110,SKU100268,21,2025-02-19
S1087,SKU100053,26,2024-06-14
S1147,SKU100599,18,2024-05-09
S1007,SKU100706,17,2024-08-10
S1009,SKU100114,19,2025-07-29
S1012,SKU100545,17,2025-02-15
S1141,SKU100348,17,2025-05-29
S1122,SKU100233,24,2025-03-18
S1147,SKU100017,18,2024-05-27
S1136,SKU100239,21,2024-04-08
S1087,SKU100167,16,2025-03-21
S1024,SKU100721,19,2025-03-22
S1021,SKU100553,23,2025-06-14
S1104,SKU100679,24,2025-04-03
S1133,SKU100297,20,2024-03-10
S1073,SKU100174,27,2025-05-09
S1075,SKU100399,22,2025-03-21
S1070,SKU100753,29,2024-03-18
S1131,SKU100795,13,2024-01-14
S1132,SKU100304,15,2024-07-11
S1117,SKU100596,20,2025-03-13
S1094,SKU100448,20,2025-01-15
S1043,SKU100574,21,2024-07-06
S1094,SKU100793,16,2024-01-31
S1125,SKU100336,17,2025-07-10
S1146,SKU100356,22,2024-07-20
S1133,SKU100129,15,2024-08-12
S1132,SKU100759,21,2025-08-14
S1028,SKU100606,26,2024-01-20
S1013,SKU100183,16,2025-04-09
S1036,SKU100073,26,2024-06-26
S1112,SKU100763,19,2025-09-05
S1149,SKU100473,18,2024-07-19
S1137,SKU100623,18,2024-11-30
S1018,SKU100140,29,2024-06-28
S1076,SKU100541,21,2024-10-28
S1138,SKU100192,23,2024-03-18
S1115,SKU100083,24,2025-04-01
S1118,SKU100014,22,2025-10-10
S1084,SKU100768,11,2025-02-20
S1148,SKU100541,19,2024-02-26
S1076,SKU100268,14,2024-10-21
S1084,SKU100101,18,2024-12-18
S1068,SKU100211,21,2025-01-03
S1108,SKU100508,24,2024-12-03
S1040,SKU100535,10,2025-09-19
S1100,SKU100535,16,2025-03-17
S1026,SKU100084,21,2024-11-27
S1046,SKU100743,13,2025-04-17
S1055,SKU100653,14,2024-01-27
S1007,SKU100214,13,2025-09-08
S1135,SKU100514,25,2024-09-01
S1087,SKU100770,17,2024-07-10
S1111,SKU100549,21,2024-07-23
S1029,SKU100793,21,2025-07-28
S1020,SKU100591,22,2025-09-16
S1062,SKU100624,17,2025-02-09
S1125,SKU100551,19,2024-01-02
S1020,SKU100281,23,2024-07-25
S1086,SKU100590,28,2025-10-24
S1002,SKU100023,18,2024-11-13
S1146,SKU100645,16,2024-04-18
S1042,SKU100107,18,2024-10-29
S1113,SKU100479,21,2024-05-27
S1147,SKU100048,24,2025-06-08
S1094,SKU100323,12,2024-06-03
S1037,SKU100573,24,2024-04-15
S1108,SKU100433,21,2025-02-18
S1149,SKU100212,15,2025-06-17
S1056,SKU100382,28,2024-02-01
S1022,SKU100643,17,2024-11-15
S1080,SKU100762,22,2024-01-22
S1129,SKU100551,16,2025-05-04
S1005,SKU100772,19,2024-02-16
S1118,SKU100766,28,2024-01-01
S1003,SKU100787,19,2025-04-08
S1081,SKU100199,24,2024-06-19
S1032,SKU100689,22,2024-12-08
S1101,SKU100020,14,2024-02-07
S1031,SKU100124,23,2025-02-28
S1147,SKU100246,20,2025-04-28
S1149,SKU100081,17,2025-02-01
S1002,SKU100254,12,2024-08-22
S1136,SKU100128,13,2024-12-28
S1146,SKU100485,25,2025-05-29
S1078,SKU100137,14,2024-10-26
S1080,SKU100357,12,2024-05-15
S1031,SKU100249,21,2025-03-24
S1109,SKU100043,23,2024-03-25
S1146,SKU100060,18,2024-11-13
S1135,SKU100335,19,2024-03-16
S1136,SKU100103,11,2024-03-26
S1128,SKU100734,14,2024-07-30
S1031,SKU100043,17,2024-07-07
S1072,SKU100335,21,2025-05-22
S1015,SKU100138,19,2024-09-19
S1076,SKU100217,24,2024-12-06
S1118,SKU100211,20,2024-11-11
S1102,SKU100071,15,2024-01-22
S1087,SKU100713,22,2025-02-08
S1135,SKU100508,20,2025-05-23
S1052,SKU100388,23,2024-01-13
S1102,SKU100143,29,2024-08-24
S1112,SKU100080,11,2025-04-17
S1055,SKU100706,22,2025-09-30
S1089,SKU100521,20,2024-02-13
S1102,SKU100581,23,2024-10-07
S1062,SKU100214,16,2024-12-17
S1090,SKU100247,18,2024-02-24
S1015,SKU100721,13,2025-06-24
S1001,SKU100641,18,2024-03-20
S1085,SKU100557,24,2024-11-24
S1082,SKU100769,14,2025-05-23
S1110,SKU100092,11,2025-08-10
S1093,SKU100648,36,2024-12-11
S1074,SKU100461,18,2025-05-17
S1063,SKU100088,21,2025-02-02
S1085,SKU100395,19,2024-11-19
S1096,SKU100245,11,2024-02-13
S1149,SKU100499,16,2025-07-03
S1145,SKU100190,16,2024-04-21
S1091,SKU100355,17,2024-09-24
S1029,SKU100103,10,2024-11-11
S1097,SKU100297,21,2024-08-01
S1063,SKU100402,17,2025-05-21
S1010,SKU100675,18,2024-12-15
S1034,SKU100520,24,2024-01-15
S1061,SKU100482,29,2025-08-03
S1124,SKU100186,31,2025-03-27
S1116,SKU100028,28,2024-03-30
S1040,SKU100557,20,2024-06-19
S1107,SKU100784,27,2024-10-01
S1096,SKU100419,19,2025-08-12
S1001,SKU100351,21,2024-12-12
S1063,SKU100302,17,2024-04-29
S1045,SKU100533,18,2024-06-14
S1021,SKU100386,30,2024-10-08
S1065,SKU100262,13,2025-09-09
S1017,SKU100721,19,2024-08-02
S1105,SKU100078,27,2024-12-27
S1008,SKU100107,30,2025-05-12
S1118,SKU100331,18,2024-11-12
S1052,SKU100342,25,2025-05-16
S1137,SKU100650,21,2024-07-23
S1076,SKU100419,16,2025-10-13
S1067,SKU100043,14,2024-12-25
S1095,SKU100127,16,2025-10-29
S1009,SKU100193,18,2025-05-02
S1143,SKU100559,26,2025-03-15
S1000,SKU100138,15,2024-10-11
S1125,SKU100219,18,2024-01-15
S1002,SKU100270,23,2024-12-06
S1036,SKU100498,15,2024-05-21
S1107,SKU100213,18,2025-10-17
S1108,SKU100137,18,2025-04-19
S1130,SKU100104,26,2024-10-10
S1067,SKU100648,17,2024-02-05
S1066,SKU100692,21,2025-01-28
S1069,SKU100464,16,2024-06-30
S1029,SKU100541,17,2025-01-27
S1148,SKU100235,22,2024-08-07
S1081,SKU100216,17,2025-01-16
S1005,SKU100589,20,2025-03-23
S1105,SKU100588,25,2024-03-23
S1011,SKU100428,22,2024-02-26
S1126,SKU100411,13,2025-08-11
S1066,SKU100711,21,2024-06-27
S1000,SKU100583,22,2024-11-14
S1044,SKU100177,24,2024-11-12
S1129,SKU100549,27,2024-11-18
S1071,SKU100628,26,2024-01-28
S1130,SKU100465,17,2024-01-14
S1069,SKU100327,23,2024-09-02
S1089,SKU100114,21,2025-09-15
S1060,SKU100785,23,2025-06-17
S1084,SKU100550,18,2024-08-10
S1116,SKU100139,19,2024-09-13
S1125,SKU100126,29,2024-08-09
S1116,SKU100272,23,2024-02-23
S1050,SKU100021,21,2024-04-21
S1108,SKU100566,17,2025-04-19
S1143,SKU100122,18,2024-03-25
S1027,SKU100775,28,2024-03-08
S1098,SKU100277,12,2024-05-06
S1008,SKU100207,21,2024-07-12
S1078,SKU100213,19,2025-10-08
S1128,SKU100778,17,2024-04-10
S1133,SKU100066,13,2024-03-11
S1129,SKU100505,19,2024-03-06
S1052,SKU100561,18,2024-07-22
S1120,SKU100453,19,2024-05-10
S1091,SKU100524,19,2024-01-01
S1056,SKU100749,14,2024-02-04
S1059,SKU100219,20,2025-05-13
S1103,SKU100290,28,2024-05-15
S1121,SKU100460,29,2025-10-22
S1003,SKU100257,27,2024-09-17
S1024,SKU100238,16,2024-11-07
S1002,SKU100619,17,2024-10-13
S1003,SKU100637,20,2024-03-30
S1028,SKU100357,21,2024-09-13
S1049,SKU100524,22,2025-01-31
S1107,SKU100023,19,2025-06-27
S1047,SKU100558,17,2025-03-28
S1032,SKU100405,20,2025-08-18
S1034,SKU100357,16,2024-11-02
S1067,SKU100170,18,2024-04-01
S1010,SKU100268,8,2025-01-25
S1017,SKU100670,22,2025-01-14
S1043,SKU100238,23,2024-02-27
S1021,SKU100625,24,2025-04-05
S1008,SKU100741,24,2024-10-14
S1091,SKU100461,15,2025-05-08
S1118,SKU100137,25,2024-01-18
S1001,SKU100274,23,2024-06-22
S1071,SKU100067,16,2025-06-03
S1005,SKU100057,19,2024-08-08
S1126,SKU100706,19,2024-10-08
S1069,SKU100102,19,2025-06-13
S1144,SKU100220,13,2025-10-03
S1040,SKU100277,18,2025-03-06
S1095,SKU100799,23,2025-05-04
S1061,SKU100564,19,2025-07-14
S1019,SKU100060,10,2025-03-17
S1123,SKU100731,18,2024-12-09
S1079,SKU100101,22,2024-10-04
S1036,SKU100147,28,2025-09-01
S1070,SKU100557,26,2025-04-24
S1119,SKU100028,18,2024-04-08
S1142,SKU100486,18,2025-02-12
S1038,SKU100762,24,2025-08-12
S1099,SKU100261,20,2025-03-03
S1147,SKU100416,26,2024-06-05
S1052,SKU100187,17,2025-06-02
S1045,SKU100382,21,2025-01-18
S1020,SKU100507,17,2024-10-07
S1076,SKU100147,17,2025-06-03
S1047,SKU100296,23,2025-01-21
S1003,SKU100271,23,2024-10-13
S1054,SKU100176,26,2025-03-31
S1107,SKU100102,19,2024-03-08
S1027,SKU100546,20,2024-05-14
S1013,SKU100036,26,2024-05-21
S1049,SKU100312,21,2025-02-21
S1097,SKU100538,27,2024-07-15
S1110,SKU100101,16,2025-06-07
S1097,SKU100220,23,2024-02-06
S1012,SKU100486,18,2024-10-09
S1003,SKU100152,18,2024-03-25
S1139,SKU100408,18,2025-01-11
S1114,SKU100711,27,2025-08-11
S1043,SKU100057,22,2025-08-23
S1038,SKU100797,24,2025-06-29
S1008,SKU100032,29,2025-07-13
S1085,SKU100798,19,2024-01-17
S1060,SKU100400,23,2025-10-22
S1106,SKU100738,17,2024-09-27
S1034,SKU100071,21,2025-06-21
S1146,SKU100369,27,2024-04-08
S1050,SKU100419,26,2024-05-19
S1139,SKU100597,20,2025-05-22
S1007,SKU100010,15,2024-01-22
S1086,SKU100476,21,2024-08-15
S1121,SKU100619,17,2024-07-31
S1080,SKU100030,18,2024-12-18
S1015,SKU100098,19,2024-03-14
S1126,SKU100249,18,2025-01-25
S1034,SKU100341,14,2024-09-07
S1144,SKU100012,17,2025-06-23
S1006,SKU100472,20,2025-04-10
S1055,SKU100630,23,2025-08-28
S1118,SKU100091,24,2024-11-01
S1048,SKU100770,20,2024-12-30
S1008,SKU100670,22,2025-08-28
S1115,SKU100175,15,2025-04-08
S1041,SKU100095,13,2024-09-22
S1027,SKU100209,15,2025-05-02
S1138,SKU100389,14,2025-05-27
S1144,SKU100042,13,2024-03-13
S1130,SKU100483,27,2024-07-30
S1019,SKU100670,25,2025-08-16
S1099,SKU100507,19,2024-06-13
S1036,SKU100190,29,2025-03-18
S1030,SKU100025,27,2025-01-30
S1064,SKU100323,15,2025-08-30
S1071,SKU100761,24,2025-06-07
S1104,SKU100114,24,2025-07-21
S1126,SKU100113,26,2024-07-22
S1145,SKU100171,22,2025-03-15
S1140,SKU100070,16,2024-11-07
S1121,SKU100006,26,2025-05-21
S1116,SKU100262,25,2024-04-16
S1078,SKU100250,15,2025-06-28
S1104,SKU100055,22,2024-07-08
S1037,SKU100230,20,2025-04-18
S1077,SKU100300,30,2025-05-28
S1033,SKU100188,15,2024-02-21
S1092,SKU100147,21,2025-08-15
S1023,SKU100663,14,2025-10-02
S1101,SKU100015,22,2024-12-16
S1036,SKU100350,23,2025-01-14
S1046,SKU100219,18,2024-04-02
S1069,SKU100773,11,2025-04-03
S1021,SKU100145,26,2025-05-07
S1004,SKU100597,15,2024-05-11
S1069,SKU100312,25,2024-01-08
S1114,SKU100485,26,2024-12-21
S1046,SKU100384,17,2025-10-22
S1005,SKU100213,19,2024-11-26
S1046,SKU100430,19,2025-01-30
S1090,SKU100323,22,2024-08-05
S1024,SKU100230,19,2024-12-12
S1033,SKU100481,21,2025-05-21
S1104,SKU100080,23,2024-12-24
S1119,SKU100617,15,2024-11-28
S1076,SKU100737,13,2024-03-21
S1142,SKU100024,18,2025-08-02
S1034,SKU100276,19,2024-03-04
S1088,SKU100708,10,2025-09-06
S1091,SKU100598,13,2025-06-23
S1138,SKU100359,12,2025-08-18
S1028,SKU100391,23,2025-03-30
S1009,SKU100134,16,2025-05-18
S1027,SKU100108,16,2025-08-06
S1147,SKU100683,27,2025-04-27
S1028,SKU100327,22,2025-04-21
S1137,SKU100595,25,2024-10-29
S1023,SKU100174,23,2024-07-22
S1110,SKU100553,12,2025-10-22
S1103,SKU100775,21,2024-02-17
S1073,SKU100750,27,2025-04-08
S1137,SKU100423,20,2024-10-14
S1065,SKU100490,15,2024-01-06
S1142,SKU100438,15,2024-12-09
S1131,SKU100690,18,2024-12-17
S1107,SKU100129,25,2025-02-05
S1054,SKU100474,14,2024-07-02
S1097,SKU100060,12,2025-04-02
S1002,SKU100512,26,2025-06-04
S1134,SKU100275,27,2024-08-30
S1079,SKU100467,24,2024-01-27
S1066,SKU100024,20,2025-09-04
S1130,SKU100767,22,2025-10-09
S1059,SKU100448,25,2024-06-29
S1142,SKU100090,25,2025-07-31
S1144,SKU100112,14,2024-01-04
S1146,SKU100033,20,2025-04-02
S1125,SKU100298,21,2024-01-25
S1145,SKU100133,14,2025-04-06
S1021,SKU100447,18,2024-07-20
S1076,SKU100044,21,2025-10-07
S1012,SKU100413,18,2024-06-25
S1146,SKU100754,21,2024-02-06
S1135,SKU100786,24,2024-03-23
S1051,SKU100402,16,2024-06-25
S1032,SKU100202,23,2024-07-30
S1083,SKU100235,13,2025-09-30
S1071,SKU100553,14,2025-10-11
S1068,SKU100522,15,2024-07-28
S1111,SKU100276,24,2025-08-13
S1114,SKU100040,16,2024-04-05
S1129,SKU100161,18,2024-05-18
S1030,SKU100229,28,2024-08-31
S1146,SKU100540,9,2024-08-08
S1105,SKU100326,24,2025-05-02
S1070,SKU100442,20,2024-10-21
S1047,SKU100151,21,2025-01-19
S1002,SKU100172,19,2025-07-29
S1016,SKU100170,15,2025-07-12
S1051,SKU100761,18,2024-05-15
S1125,SKU100702,21,2024-03-16
S1037,SKU100014,14,2024-05-05
S1091,SKU100336,17,2024-12-13
S1000,SKU100213,19,2025-04-11
S1055,SKU100002,22,2025-04-21
S1015,SKU100021,26,2024-04-15
S1004,SKU100561,19,2025-01-16
S1132,SKU100385,14,2024-08-13
S1063,SKU100298,17,2025-09-18
S1103,SKU100464,17,2025-02-06
S1061,SKU100607,18,2024-03-28
S1028,SKU100626,24,2024-08-13
S1001,SKU100003,23,2024-11-17
S1132,SKU100533,15,2025-07-29
S1146,SKU100786,11,2024-04-18
S1145,SKU100092,23,2025-01-15
S1031,SKU100258,26,2024-07-19
S1030,SKU100415,30,2025-01-09
S1000,SKU100023,24,2024-03-11
S1148,SKU100094,19,2025-01-23
S1098,SKU100581,17,2024-10-22
S1038,SKU100240,20,2024-06-08
S1035,SKU100701,21,2024-12-25
S1126,SKU100206,20,2025-06-05
S1116,SKU100759,23,2025-03-21
S1148,SKU100689,28,2024-06-16
S1136,SKU100791,26,2025-09-20
S1147,SKU100744,20,2025-08-17
S1117,SKU100757,14,2024-12-10
S1011,SKU100397,20,2025-04-30
S1002,SKU100554,22,2024-06-27
S1086,SKU100307,23,2024-05-18
S1139,SKU100084,17,2024-07-24
S1140,SKU100435,20,2025-09-10
S1122,SKU100264,21,2025-04-11
S1099,SKU100250,21,2024-02-02
S1010,SKU100051,17,2024-05-09
S1005,SKU100611,22,2025-09-21
S1131,SKU100283,19,2025-08-27
S1056,SKU100255,20,2024-03-22
